province_name,year,commodity,season,area_thousand_ha,yield_ta_per_ha,production_thousand_tonnes,avg_temperature,min_temperature,max_temperature,surface_temperature,wet_bulb_temperature,precipitation,solar_radiation,relative_humidity,wind_speed,surface_pressure,latitude_center,longitude_center,latitude_min,longitude_min,latitude_max,longitude_max,surface_elevation,avg_ndvi,soil_ph_level,soil_organic_carbon,soil_nitrogen_content,soil_sand_ratio,soil_clay_ratio
An Giang,1995,cassava,annual,1.4,82.8571,11.6,27.595384615384617,15.37,40.66,28.28,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159,4.0,0.5651,5.7,1.93,0.2296,21.1,42.3
An Giang,1995,maize,annual,8.8,65.7,57.8,27.595384615384617,15.37,40.66,28.28,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159,4.0,0.5651,5.7,1.93,0.2296,21.1,42.3
An Giang,1995,rice,main_rainy,28.8,11.7,33.6,27.595384615384617,15.37,40.66,28.28,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159,4.0,0.5651,5.7,1.93,0.2296,21.1,42.3
An Giang,1995,rice,summer_autumn_fall,185.0,41.6,770.0,27.595384615384617,15.37,40.66,28.28,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159,4.0,0.5651,5.7,1.93,0.2296,21.1,42.3
An Giang,1995,rice,winter_spring,178.0,61.2,1088.9,27.595384615384617,15.37,40.66,28.28,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159,4.0,0.5651,5.7,1.93,0.2296,21.1,42.3
An Giang,1995,sweet_potato,annual,0.2,110.0,2.2,27.595384615384617,15.37,40.66,28.28,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159,4.0,0.5651,5.7,1.93,0.2296,21.1,42.3
Ba Ria - Vung Tau,1995,cassava,annual,7.8,115.5128,90.1,27.12076923076923,19.56,32.74,28.48923076923077,25.00692307692308,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923076,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266,101.0,0.581,5.9,1.35,0.1212,30.5,37.9
Ba Ria - Vung Tau,1995,maize,annual,14.3,22.9,32.7,27.12076923076923,19.56,32.74,28.48923076923077,25.00692307692308,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923076,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266,101.0,0.581,5.9,1.35,0.1212,30.5,37.9
Ba Ria - Vung Tau,1995,rice,main_rainy,13.7,24.1,33.0,27.12076923076923,19.56,32.74,28.48923076923077,25.00692307692308,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923076,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266,101.0,0.581,5.9,1.35,0.1212,30.5,37.9
Ba Ria - Vung Tau,1995,rice,summer_autumn_fall,5.0,27.6,13.8,27.12076923076923,19.56,32.74,28.48923076923077,25.00692307692308,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923076,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266,101.0,0.581,5.9,1.35,0.1212,30.5,37.9
