year,region_level,region_name,commodity,season,area_thousand_ha,yield_ta_per_ha,production_thousand_tonnes
1995,1,An Giang,cassava,annual,1.4,,11.6
1995,1,An Giang,maize,annual,8.8,65.7,57.8
1995,1,An Giang,rice,main_rainy,28.8,11.7,33.6
1995,1,An Giang,rice,summer_autumn_fall,185.0,41.6,770.0
1995,1,An Giang,rice,winter_spring,178.0,61.2,1088.9
1995,1,An Giang,sweet_potato,annual,0.2,,2.2
1995,1,Ba Ria - Vung Tau,cassava,annual,7.8,,90.1
1995,1,Ba Ria - Vung Tau,maize,annual,14.3,22.9,32.7
1995,1,Ba Ria - Vung Tau,rice,main_rainy,13.7,24.1,33.0
1995,1,Ba Ria - Vung Tau,rice,summer_autumn_fall,5.0,27.6,13.8
1995,1,Ba Ria - Vung Tau,rice,winter_spring,3.7,35.9,13.3
1995,1,Ba Ria - Vung Tau,sweet_potato,annual,1.4,,4.0
1995,1,Bac Giang,cassava,annual,7.5,,58.0
1995,1,Bac Giang,maize,annual,7.8,17.8,13.9
1995,1,Bac Giang,rice,main_rainy,60.3,27.7,167.1
1995,1,Bac Giang,rice,winter_spring,49.4,24.9,122.8
1995,1,Bac Giang,sweet_potato,annual,21.2,,123.9
1995,1,Bac Kan,cassava,annual,1.5,,14.6
1995,1,Bac Kan,maize,annual,3.3,15.5,5.1
1995,1,Bac Kan,rice,main_rainy,14.5,27.9,40.5
1995,1,Bac Kan,rice,winter_spring,3.6,28.6,10.3
1995,1,Bac Kan,sweet_potato,annual,0.3,,0.8
1995,1,Bac Lieu,maize,annual,0.2,20.0,0.4
1995,1,Bac Lieu,rice,main_rainy,111.6,38.7,432.0
1995,1,Bac Lieu,rice,summer_autumn_fall,18.5,33.7,62.3
1995,1,Bac Lieu,rice,winter_spring,,,
1995,1,Bac Lieu,sweet_potato,annual,0.3,,1.4
1995,1,Bac Ninh,maize,annual,3.9,18.7,7.3
1995,1,Bac Ninh,rice,main_rainy,39.4,31.2,122.9
1995,1,Bac Ninh,rice,winter_spring,39.5,31.6,125.0
1995,1,Bac Ninh,sweet_potato,annual,4.6,,30.2
1995,1,Ben Tre,maize,annual,1.2,25.8,3.1
1995,1,Ben Tre,rice,main_rainy,49.6,30.5,151.2
1995,1,Ben Tre,rice,summer_autumn_fall,21.0,36.7,77.0
1995,1,Ben Tre,rice,winter_spring,22.1,41.2,91.1
1995,1,Ben Tre,sweet_potato,annual,1.3,,10.0
1995,1,Binh Dinh,cassava,annual,10.9,,61.3
1995,1,Binh Dinh,maize,annual,1.0,31.0,3.1
1995,1,Binh Dinh,rice,main_rainy,38.3,24.8,94.8
1995,1,Binh Dinh,rice,summer_autumn_fall,35.2,37.6,132.5
1995,1,Binh Dinh,rice,winter_spring,45.0,38.9,175.0
1995,1,Binh Dinh,sweet_potato,annual,1.2,,5.8
1995,1,Binh Duong,cassava,annual,6.1,,44.0
1995,1,Binh Duong,maize,annual,0.6,8.3,0.5
1995,1,Binh Duong,rice,main_rainy,19.7,22.2,43.7
1995,1,Binh Duong,rice,summer_autumn_fall,3.5,30.0,10.5
1995,1,Binh Duong,rice,winter_spring,5.6,31.8,17.8
1995,1,Binh Duong,sweet_potato,annual,0.6,,1.4
1995,1,Binh Phuoc,cassava,annual,7.3,,65.5
1995,1,Binh Phuoc,maize,annual,3.1,8.7,2.7
1995,1,Binh Phuoc,rice,main_rainy,25.0,14.8,37.1
1995,1,Binh Phuoc,rice,winter_spring,1.3,24.6,3.2
1995,1,Binh Phuoc,sweet_potato,annual,0.7,,1.4
1995,1,Binh Thuan,cassava,annual,5.6,,35.5
1995,1,Binh Thuan,maize,annual,6.9,25.4,17.5
1995,1,Binh Thuan,rice,main_rainy,40.6,27.2,110.6
1995,1,Binh Thuan,rice,summer_autumn_fall,19.4,39.8,77.2
1995,1,Binh Thuan,rice,winter_spring,5.3,40.4,21.4
1995,1,Binh Thuan,sweet_potato,annual,6.7,,30.4
1995,1,Ca Mau,maize,annual,0.2,30.0,0.6
1995,1,Ca Mau,rice,main_rainy,169.5,26.2,444.1
1995,1,Ca Mau,rice,summer_autumn_fall,17.5,49.9,87.4
1995,1,Ca Mau,rice,winter_spring,,,
1995,1,Ca Mau,sweet_potato,annual,0.4,,2.1
1995,1,Can Tho,maize,annual,1.0,34.0,3.4
1995,1,Can Tho,rice,main_rainy,6.2,34.4,21.3
1995,1,Can Tho,rice,summer_autumn_fall,230.0,35.8,824.1
1995,1,Can Tho,rice,winter_spring,165.6,52.3,865.3
1995,1,Can Tho,sweet_potato,annual,1.3,,9.3
1995,1,Cao Bang,cassava,annual,2.5,,14.5
1995,1,Cao Bang,maize,annual,32.5,17.0,55.3
1995,1,Cao Bang,rice,main_rainy,30.1,26.9,81.0
1995,1,Cao Bang,rice,winter_spring,3.3,34.5,11.4
1995,1,Cao Bang,sweet_potato,annual,2.9,,10.3
1995,1,Da Nang,maize,annual,0.1,30.0,0.3
1995,1,Da Nang,rice,main_rainy,5.6,40.2,22.5
1995,1,Da Nang,rice,summer_autumn_fall,2.0,48.5,9.7
1995,1,Da Nang,rice,winter_spring,5.8,37.2,21.6
1995,1,Da Nang,sweet_potato,annual,4.4,,20.6
1995,1,Dak Lak,cassava,annual,4.8,,49.5
1995,1,Dak Lak,maize,annual,19.5,25.9,50.6
1995,1,Dak Lak,rice,main_rainy,54.4,26.2,142.5
1995,1,Dak Lak,rice,winter_spring,14.6,33.8,49.4
1995,1,Dak Lak,sweet_potato,annual,4.9,,36.3
1995,1,Dak Nong,cassava,annual,,,
1995,1,Dak Nong,maize,annual,,,
1995,1,Dak Nong,rice,main_rainy,,,
1995,1,Dak Nong,rice,winter_spring,,,
1995,1,Dak Nong,sweet_potato,annual,,,
1995,1,Dien Bien,cassava,annual,,,
1995,1,Dien Bien,maize,annual,,,
1995,1,Dien Bien,rice,main_rainy,,,
1995,1,Dien Bien,rice,winter_spring,,,
1995,1,Dien Bien,sweet_potato,annual,,,
1995,1,Dong Nai,cassava,annual,13.0,,125.3
1995,1,Dong Nai,maize,annual,62.0,29.5,182.6
1995,1,Dong Nai,rice,main_rainy,32.8,29.6,97.1
1995,1,Dong Nai,rice,summer_autumn_fall,21.8,34.0,74.2
1995,1,Dong Nai,rice,winter_spring,12.9,36.1,46.6
1995,1,Dong Nai,sweet_potato,annual,1.0,,3.0
1995,1,Dong Thap,maize,annual,2.2,35.9,7.9
1995,1,Dong Thap,rice,main_rainy,1.0,31.0,3.1
1995,1,Dong Thap,rice,summer_autumn_fall,185.0,36.2,669.9
1995,1,Dong Thap,rice,winter_spring,175.0,53.9,943.5
1995,1,Dong Thap,sweet_potato,annual,1.0,,11.5
1995,1,Gia Lai,cassava,annual,15.8,,83.6
1995,1,Gia Lai,maize,annual,14.4,10.1,14.6
1995,1,Gia Lai,rice,main_rainy,47.4,17.1,80.9
1995,1,Gia Lai,rice,winter_spring,7.4,47.3,35.0
1995,1,Gia Lai,sweet_potato,annual,3.7,,23.4
1995,1,Ha Giang,cassava,annual,5.1,,26.5
1995,1,Ha Giang,maize,annual,37.8,12.0,45.4
1995,1,Ha Giang,rice,main_rainy,23.5,28.0,65.9
1995,1,Ha Giang,rice,winter_spring,5.8,27.6,16.0
1995,1,Ha Giang,sweet_potato,annual,0.7,,1.5
1995,1,Ha Nam,maize,annual,5.8,23.3,13.5
1995,1,Ha Nam,rice,main_rainy,36.7,36.9,135.3
1995,1,Ha Nam,rice,winter_spring,36.2,45.4,164.2
1995,1,Ha Nam,sweet_potato,annual,4.2,,29.2
1995,1,Ha Noi,cassava,annual,0.3,,1.8
1995,1,Ha Noi,maize,annual,9.6,22.7,21.8
1995,1,Ha Noi,rice,main_rainy,29.9,32.4,96.8
1995,1,Ha Noi,rice,winter_spring,26.2,30.6,80.3
1995,1,Ha Noi,sweet_potato,annual,4.8,,29.7
1995,1,Ha Tay,maize,annual,17.6,29.1,51.3
1995,1,Ha Tay,rice,main_rainy,86.0,38.0,326.7
1995,1,Ha Tay,rice,winter_spring,82.2,39.0,320.5
1995,1,Ha Tay,sweet_potato,annual,12.9,,90.1
1995,1,Ha Tinh,cassava,annual,2.1,,13.6
1995,1,Ha Tinh,maize,annual,2.8,23.6,6.6
1995,1,Ha Tinh,rice,main_rainy,20.4,19.6,39.9
1995,1,Ha Tinh,rice,summer_autumn_fall,31.6,29.4,93.0
1995,1,Ha Tinh,rice,winter_spring,55.2,31.8,175.6
1995,1,Ha Tinh,sweet_potato,annual,19.6,,101.2
1995,1,Hai Duong,maize,annual,10.7,30.0,32.1
1995,1,Hai Duong,rice,main_rainy,74.3,44.2,328.5
1995,1,Hai Duong,rice,winter_spring,74.2,45.1,334.8
1995,1,Hai Duong,sweet_potato,annual,7.2,,61.9
1995,1,Hai Phong,maize,annual,0.5,20.0,1.0
1995,1,Hai Phong,rice,main_rainy,48.0,40.0,191.9
1995,1,Hai Phong,rice,winter_spring,45.7,44.7,204.1
1995,1,Hai Phong,sweet_potato,annual,5.0,,44.3
1995,1,Hau Giang,maize,annual,,,
1995,1,Hau Giang,rice,main_rainy,,,
1995,1,Hau Giang,rice,summer_autumn_fall,,,
1995,1,Hau Giang,rice,winter_spring,,,
1995,1,Hau Giang,sweet_potato,annual,,,
1995,1,Hoa Binh,cassava,annual,9.0,,53.8
1995,1,Hoa Binh,maize,annual,14.7,14.0,20.6
1995,1,Hoa Binh,rice,main_rainy,27.1,28.8,78.0
1995,1,Hoa Binh,rice,winter_spring,16.4,30.9,50.7
1995,1,Hoa Binh,sweet_potato,annual,4.0,,8.8
1995,1,Hung Yen,maize,annual,10.5,25.6,26.9
1995,1,Hung Yen,rice,main_rainy,47.3,43.6,206.3
1995,1,Hung Yen,rice,winter_spring,42.2,45.1,190.2
1995,1,Hung Yen,sweet_potato,annual,3.2,,28.2
1995,1,Khanh Hoa,cassava,annual,4.8,,52.5
1995,1,Khanh Hoa,maize,annual,5.2,13.1,6.8
1995,1,Khanh Hoa,rice,main_rainy,9.7,26.8,26.0
1995,1,Khanh Hoa,rice,summer_autumn_fall,14.5,40.2,58.3
1995,1,Khanh Hoa,rice,winter_spring,13.8,41.8,57.7
1995,1,Khanh Hoa,sweet_potato,annual,0.1,,0.3
1995,1,Kien Giang,cassava,annual,0.2,,1.3
1995,1,Kien Giang,maize,annual,,,
1995,1,Kien Giang,rice,main_rainy,103.3,25.6,264.7
1995,1,Kien Giang,rice,summer_autumn_fall,170.0,37.0,629.1
1995,1,Kien Giang,rice,winter_spring,107.0,53.1,568.6
