year,province_name,avg_temperature,min_temperature,max_temperature,surface_temperature,wet_bulb_temperature,precipitation,solar_radiation,relative_humidity,wind_speed,surface_pressure
1995,An Giang,27.595384615384617,15.37,40.66,28.279999999999998,24.974615384615387,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309
1996,An Giang,27.065384615384616,14.36,40.96,27.607692307692307,24.970000000000002,6.107692307692308,18.473846153846154,80.68769230769232,2.3,100.80307692307693
1997,An Giang,27.106153846153845,15.99,39.26,27.61,25.071538461538463,5.259230769230769,19.200769230769232,80.73384615384614,2.333076923076923,100.94692307692307
1998,An Giang,28.388461538461538,18.37,42.23,29.13153846153846,25.736153846153847,6.152307692307692,18.942307692307693,77.00538461538461,2.46,100.82923076923076
1999,An Giang,26.531538461538464,14.92,38.97,26.87076923076923,24.935384615384617,5.809230769230769,18.265384615384615,84.14230769230768,2.4976923076923074,100.78153846153847
2000,An Giang,27.084615384615386,18.0,39.56,27.576153846153847,25.150769230769228,4.573076923076924,18.264615384615386,81.38923076923076,2.4046153846153846,100.75076923076924
2001,An Giang,27.394615384615385,18.08,39.88,27.970000000000002,25.22153846153846,3.506153846153846,18.804615384615385,79.42076923076924,2.5176923076923075,100.79307692307692
2002,An Giang,28.18769230769231,17.96,40.81,29.042307692307695,25.264615384615386,2.5046153846153847,19.46076923076923,73.95461538461538,2.585384615384615,100.86692307692307
2003,An Giang,28.02,18.04,40.85,28.779999999999998,25.262307692307694,2.926153846153846,18.67,75.26,2.4453846153846155,100.86538461538461
2004,An Giang,28.086923076923078,19.74,40.26,28.902307692307694,25.233846153846155,3.0300000000000002,19.013846153846153,74.53307692307693,2.366153846153846,100.87538461538462
2005,An Giang,28.132307692307695,17.91,41.1,28.921538461538464,25.28846153846154,2.680769230769231,18.414615384615384,74.87384615384616,2.573846153846154,100.85
2006,An Giang,27.86923076923077,17.87,40.35,28.50230769230769,25.411538461538463,3.3953846153846152,17.96153846153846,77.46384615384615,2.3253846153846154,100.83538461538461
2007,An Giang,27.816153846153846,16.74,40.24,28.47307692307692,25.24230769230769,3.0969230769230767,18.071538461538463,76.68384615384615,2.3453846153846154,100.80307692307693
2008,An Giang,27.525384615384613,19.11,39.96,28.095384615384617,25.125384615384615,3.2992307692307694,17.76076923076923,77.77846153846154,2.3546153846153848,100.7976923076923
2009,An Giang,27.543846153846154,16.31,38.42,28.091538461538462,25.266923076923078,2.9000000000000004,17.92,78.4176923076923,2.439230769230769,100.81076923076922
2010,An Giang,28.463846153846152,18.68,41.46,29.264615384615386,25.625384615384615,2.8146153846153847,18.166923076923077,74.7023076923077,2.2623076923076924,100.82
2011,An Giang,27.4,18.11,38.76,27.944615384615386,25.093846153846155,3.503846153846154,17.956923076923076,78.32615384615384,2.4615384615384617,100.79461538461538
2012,An Giang,27.571538461538463,20.18,39.31,28.01230769230769,25.513846153846153,3.7492307692307696,17.93307692307692,80.42076923076924,2.4084615384615384,100.78153846153847
2013,An Giang,27.96923076923077,18.54,40.42,28.606153846153845,25.356923076923074,2.73,17.751538461538463,76.02923076923076,2.3446153846153845,100.80923076923077
2014,An Giang,28.345384615384617,17.17,40.81,29.199230769230773,25.333076923076923,2.6184615384615384,18.622307692307693,73.12153846153846,2.276153846153846,100.87153846153845
2015,An Giang,28.36769230769231,17.69,39.87,29.155384615384612,25.427692307692308,3.0007692307692304,19.17153846153846,73.93692307692308,2.3907692307692305,100.93769230769232
2016,An Giang,28.504615384615384,18.36,41.25,29.236153846153847,25.713846153846152,3.959230769230769,18.365384615384617,75.52076923076923,2.528461538461538,100.84923076923077
2017,An Giang,27.543076923076924,16.39,38.98,27.956153846153846,25.544615384615383,4.325384615384615,18.05,80.81923076923077,2.3215384615384616,100.83923076923078
2018,An Giang,27.321538461538463,17.51,38.82,27.67076923076923,25.476153846153846,5.7784615384615385,18.136923076923075,82.0723076923077,2.2253846153846153,100.84846153846154
2019,An Giang,27.765384615384615,17.45,40.51,28.259999999999998,25.543076923076924,5.975384615384616,18.827692307692306,79.49307692307693,2.332307692307692,100.89384615384617
2020,An Giang,27.948461538461537,19.04,39.52,28.493846153846157,25.616153846153846,8.18,18.677692307692308,78.77384615384615,2.19,100.84384615384616
2021,An Giang,27.103846153846156,16.67,39.58,27.456923076923076,25.279230769230768,7.187692307692307,18.060769230769232,82.50461538461538,2.3053846153846154,100.8423076923077
2022,An Giang,27.111538461538462,17.85,37.07,27.393846153846155,25.47153846153846,6.673076923076923,17.75307692307692,83.72076923076924,2.1184615384615384,100.78461538461539
2023,An Giang,27.906153846153845,18.96,39.72,28.36076923076923,25.744615384615386,5.466923076923077,17.896153846153847,79.76846153846154,2.417692307692308,100.85769230769232
2024,An Giang,28.63,18.2,43.55,29.27,26.123076923076926,6.268461538461538,18.294615384615383,77.6123076923077,2.336153846153846,100.82307692307693
1995,Ba Ria - Vung Tau,27.12076923076923,19.56,32.74,28.48923076923077,25.006923076923076,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923077
1996,Ba Ria - Vung Tau,26.943076923076923,19.63,32.83,28.25846153846154,24.95846153846154,4.503846153846154,19.172307692307694,79.53615384615385,4.642307692307693,100.49615384615385
1997,Ba Ria - Vung Tau,27.177692307692308,19.8,32.57,28.441538461538464,25.123846153846156,3.9669230769230768,20.056153846153848,78.96384615384615,4.966923076923076,100.64230769230768
1998,Ba Ria - Vung Tau,27.720000000000002,20.63,33.17,29.135384615384616,25.718461538461536,4.818461538461539,19.606153846153845,79.55230769230769,4.732307692307692,100.53846153846153
1999,Ba Ria - Vung Tau,26.82384615384615,19.54,32.55,27.72153846153846,25.111538461538462,5.369230769230769,18.691538461538464,82.03461538461539,4.424615384615385,100.45769230769231
2000,Ba Ria - Vung Tau,26.915384615384614,22.0,33.11,27.90615384615385,25.157692307692308,5.2553846153846155,19.00923076923077,81.63384615384615,4.5976923076923075,100.43384615384616
2001,Ba Ria - Vung Tau,27.22230769230769,21.24,34.76,28.39153846153846,25.282307692307693,3.766923076923077,19.156153846153845,80.01384615384616,4.85,100.48230769230769
2002,Ba Ria - Vung Tau,27.292307692307695,21.15,33.12,28.56153846153846,25.23076923076923,3.43,20.02153846153846,78.89153846153846,5.363846153846154,100.57153846153847
2003,Ba Ria - Vung Tau,27.213846153846152,21.41,33.17,28.433846153846154,25.199230769230766,3.660769230769231,19.588461538461537,79.24692307692308,5.059230769230769,100.5723076923077
2004,Ba Ria - Vung Tau,27.146153846153844,22.15,32.81,28.46923076923077,24.98923076923077,3.522307692307692,20.076153846153847,78.02538461538461,5.2215384615384615,100.58
2005,Ba Ria - Vung Tau,27.20384615384615,21.35,33.7,28.526153846153843,25.20846153846154,3.6492307692307695,19.455384615384613,79.48,5.1523076923076925,100.55692307692308
2006,Ba Ria - Vung Tau,27.28923076923077,21.66,33.19,28.45307692307692,25.326923076923077,3.9846153846153842,19.813076923076924,79.77384615384615,5.042307692307692,100.53307692307693
2007,Ba Ria - Vung Tau,27.123846153846156,21.05,32.98,28.29076923076923,25.194615384615386,4.516923076923077,18.836923076923078,80.07384615384616,4.8707692307692305,100.50076923076924
2008,Ba Ria - Vung Tau,27.079230769230772,22.13,32.5,28.151538461538465,25.111538461538462,3.9453846153846155,18.838461538461537,79.67,4.769230769230769,100.49076923076925
2009,Ba Ria - Vung Tau,27.169999999999998,20.41,33.5,28.177692307692308,25.28846153846154,3.7715384615384617,19.058461538461536,80.47692307692309,4.844615384615385,100.50076923076924
2010,Ba Ria - Vung Tau,27.680769230769233,22.38,33.82,29.04,25.574615384615388,3.976153846153846,19.391538461538463,78.44461538461539,4.463076923076923,100.53307692307693
2011,Ba Ria - Vung Tau,26.965384615384615,21.02,32.69,27.895384615384614,25.04,4.009230769230769,18.801538461538463,80.0653846153846,4.82923076923077,100.48153846153846
2012,Ba Ria - Vung Tau,27.25923076923077,22.24,33.21,28.17076923076923,25.427692307692308,4.357692307692307,19.29923076923077,80.98923076923076,4.856923076923077,100.47923076923077
2013,Ba Ria - Vung Tau,27.450000000000003,21.46,32.76,28.65,25.33153846153846,3.25,18.596153846153847,78.35384615384615,4.817692307692308,100.51076923076924
2014,Ba Ria - Vung Tau,27.459230769230768,20.72,33.75,28.856153846153845,25.218461538461536,3.4707692307692306,19.900769230769228,77.27461538461537,4.7153846153846155,100.58076923076922
2015,Ba Ria - Vung Tau,27.705384615384617,21.49,33.87,29.216153846153848,25.374615384615385,2.643076923076923,20.486923076923077,76.5,5.154615384615385,100.64692307692309
