province_name,latitude_center,longitude_center,latitude_min,longitude_min,latitude_max,longitude_max
An Giang,10.3109073,105.2141844,8.9945558,103.0522427,10.9622908,105.5756159
Ba Ria - Vung Tau,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266
Bac Giang,21.3586912,106.2747677,21.1219509,105.8805752,21.6262727,107.0335769
Bac Kan,22.2220567,105.8681756,21.804335,105.4311192,22.7413755,106.2469976
Bac Lieu,9.401815,105.4487128,8.291231,105.2323669,9.6375498,106.0553036
Bac Ninh,21.0782579,106.2172111,20.969332,105.8805752,21.6262727,107.0335769
Ben Tre,10.0714766,106.5924532,9.4272857,106.0275158,10.3403324,106.9933717
Binh Dinh,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213
Binh Duong,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694
Binh Phuoc,11.8000378,106.9151381,11.3015859,106.4116112,12.2984546,107.4271366
Binh Thuan,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715
Ca Mau,9.1080394,104.8979779,8.1790665,103.4821147,9.6375498,106.0553036
Can Tho,10.122571,105.4595037,8.702505,105.2256784,10.3252088,106.4538443
Cao Bang,22.7663873,106.1218581,22.3569233,105.266713,23.1187947,106.8376464
Da Nang,16.0620055,108.0428018,14.9513535,107.2109165,16.3340091,109.0235567
Dak Lak,13.2005395,108.1899903,12.1605291,107.48422,13.695333,109.6665477
Dak Nong,12.5046041,107.6926461,11.7488725,107.2061286,12.8125186,108.1163825
Dien Bien,21.3198617,103.0221095,20.8926915,102.1438643,22.5479246,103.5987948
Dong Nai,10.9669579,107.4280568,10.5792082,106.4116112,12.2984546,107.5778493
Dong Thap,10.5494402,105.8026748,10.1347692,105.1855756,10.9734667,106.9933717
Gia Lai,13.345163,108.3865221,12.9961664,107.4508216,14.7032024,109.5849213
Ha Giang,22.6740844,105.0171206,22.754574,104.8632638,22.8789506,105.0750551
Ha Nam,20.5544846,106.1034254,20.36286,105.7690113,20.7043816,106.1832245
Ha Noi,21.1176225,105.3953741,20.5645154,105.2889615,21.3854176,106.0200725
Ha Tay,20.965872,105.550891,10.1156658,103.9842333,10.1157658,103.9843333
Ha Tinh,18.2224591,106.0308039,17.9096017,105.1034678,18.767,106.7537007
Hai Duong,20.8032327,106.4129676,20.6835801,106.1242265,21.2369932,106.6110141
Hai Phong,20.6795578,106.4711033,19.9177567,106.1242265,21.2369932,107.9518577
Hau Giang,9.824974,105.5712512,9.5821509,105.3285245,9.994168,105.8968064
Hoa Binh,20.4429786,105.4534575,20.3053594,104.8364751,21.1127685,105.8571482
Hung Yen,20.7358776,106.1531028,20.0771551,105.8953248,21.0069902,107.1192846
Khanh Hoa,12.523314,109.0144286,7.6920852,108.5514745,12.8685237,114.8572578
Kien Giang,10.2211737,104.9863112,8.9945558,103.0522427,10.5400147,105.5393966
Kon Tum,14.6113365,108.0060878,12.0995372,105.3323831,17.2995372,110.5323831
Lai Chau,21.8611486,103.8457452,21.6860789,102.3205299,22.813929,103.985835
Lam Dong,11.6023052,108.3785534,9.3780225,107.2061286,12.8125186,109.4019255
Lang Son,21.524441,106.2269869,21.3251504,106.0953797,22.4614571,107.3640954
Lao Cai,22.3476923,104.1428255,21.3259198,103.5294336,22.8449153,105.1003814
Long An,10.6099676,105.9996499,10.470828,107.1908562,10.490828,107.2108562
Nam Dinh,20.1841662,106.301384,19.4900489,105.9239975,20.4991935,106.9523782
Nghe An,19.0432849,105.4428726,18.5521172,103.8745552,20.0023505,106.2645068
Ninh Binh,20.041718,106.0977183,20.2371142,105.9696207,20.2471142,105.9796207
Ninh Thuan,11.7297058,108.7397452,10.7630844,108.5514745,12.1647836,109.5373734
Phu Tho,21.4492664,105.0753645,21.3639734,105.1756864,21.464687,105.284936
Phu Yen,13.1958397,109.2812606,12.7047957,108.6725383,13.695333,109.6665477
Quang Binh,17.2230832,106.8091379,16.9210249,105.6076748,18.1315832,107.2961151
Quang Nam,15.8477203,107.9678616,11.9536573,108.4305603,11.9537573,108.4306603
Quang Ngai,14.9481932,108.8948599,15.1159627,108.7763826,15.1259627,108.7863826
Quang Ninh,21.0907772,106.5288951,20.4645656,106.439154,21.6635306,108.2086111
Quang Tri,16.6766859,107.2782769,16.3021941,105.6076748,18.1315832,107.6919676
Soc Trang,9.5661106,105.9868384,8.702505,105.5440061,9.9380667,106.4538443
Son La,20.8860433,104.6016002,20.5730041,103.2122557,22.0307043,105.0253074
TP Ho Chi Minh,11.0026118,106.5594225,8.3456879,105.9769387,11.5015885,108.4311207
Tay Ninh,10.9624382,106.1708593,10.3948326,105.5003679,11.7828532,106.747241
Thai Binh,20.465305,106.268285,20.0771551,106.1096698,20.7289887,107.1192846
Thai Nguyen,21.4588378,105.9898843,21.3264833,105.4311192,22.7413755,106.2469976
Thanh Hoa,19.9353032,105.4892382,19.1874673,104.3759531,20.6699877,106.269077
Thua Thien Hue,16.4807265,107.6745363,15.9949311,107.0343436,17.1109141,108.4805829
Tien Giang,10.3378539,106.6048017,10.7737388,105.2596406,10.8017546,105.3500255
Tra Vinh,9.7790219,106.3597521,9.0800586,105.9530798,10.0822343,106.8722725
Tuyen Quang,21.6621744,105.3569853,21.6834105,105.0927759,21.8660164,105.2933426
Vinh Long,10.0745511,105.9442851,9.0800586,105.6818716,10.3403324,106.9933717
Vinh Phuc,21.2491685,105.4692619,21.1544314,105.9841135,21.1944314,106.0241135
Yen Bai,21.5858342,104.50706,21.3259198,103.8862366,22.2918652,105.1003814
